Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Jeff Reine-Adélaïde,fr FRA,MF,Troyes,24,1998,6,3,233,2.6,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.8,10,20,8,Ligue 1,2022-2023
Adil Rami,fr FRA,DF,Troyes,36,1985,20,18,1596,17.7,0,1,1,0,0,0,2,0,0.7,0.7,0.6,1.3,4,35,2,Ligue 1,2022-2023
Simon Ramet,fr FRA,DF,Lille,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Ligue 1,2022-2023
Alexandre Coeff,fr FRA,DF,Auxerre,30,1992,7,6,586,6.5,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,3,26,9,Ligue 1,2022-2023
Pablo Sarabia,es ESP,"FW,MF",Paris S-G,30,1992,14,3,370,4.1,0,0,0,0,0,0,1,0,1.3,1.3,1.3,2.7,9,18,37,Ligue 1,2022-2023
Ousmane Camara,gn GUI,"FW,MF",Auxerre,20,2001,3,0,24,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,2,1,Ligue 1,2022-2023
Mohamed Camara,ml MLI,MF,Monaco,22,2000,29,25,2194,24.4,0,3,3,0,0,0,6,1,1.0,1.0,2.2,3.2,28,135,19,Ligue 1,2022-2023
Duje Ćaleta-Car,hr CRO,DF,Marseille,25,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Ligue 1,2022-2023
Jimmy Cabot,fr FRA,"DF,MF",Lens,28,1994,11,5,511,5.7,0,1,1,0,0,0,2,0,0.3,0.3,2.1,2.4,26,29,65,Ligue 1,2022-2023
Marcin Bułka,pl POL,GK,Nice,22,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Ligue 1,2022-2023
Maxime Busi,be BEL,DF,Reims,22,1999,21,11,1043,11.6,0,1,1,0,0,0,4,0,0.1,0.1,0.7,0.8,25,57,44,Ligue 1,2022-2023
Adam Buksa,pl POL,"FW,MF",Lens,26,1996,8,0,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,9,Ligue 1,2022-2023
Joe Bryan,eng ENG,"MF,DF",Nice,28,1993,6,2,177,2.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,2,8,16,Ligue 1,2022-2023
Andreas Bruus,dk DEN,"DF,FW",Troyes,23,1999,27,18,1628,18.1,0,2,2,0,0,0,2,0,0.7,0.7,1.7,2.4,47,41,117,Ligue 1,2022-2023
Lilian Brassier,fr FRA,DF,Brest,22,1999,36,35,3093,34.4,0,0,0,0,0,0,5,0,1.1,1.1,0.9,2.0,20,111,29,Ligue 1,2022-2023
Ismaël Boura,km COM,"DF,FW",Lens,21,2000,9,0,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,6,11,Ligue 1,2022-2023
Brice Samba,fr FRA,GK,Lens,28,1994,37,37,3330,37.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,1,0,Ligue 1,2022-2023
Ibrahim Salah,ma MAR,"FW,MF",Rennes,20,2001,13,1,227,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,13,14,27,Ligue 1,2022-2023
Kays Ruiz,fr FRA,MF,Auxerre,19,2002,1,1,62,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,2,Ligue 1,2022-2023
El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,17,2005,13,6,583,6.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,23,8,Ligue 1,2022-2023
Badredine Bouanani,dz ALG,"FW,MF",Nice,17,2004,19,9,863,9.6,0,4,4,0,0,0,0,0,1.7,1.7,3.5,5.2,47,31,98,Ligue 1,2022-2023
Kouamé Botué,bf BFA,"FW,MF",Ajaccio,19,2002,8,2,229,2.5,0,0,0,0,0,0,0,0,1.2,1.2,0.1,1.3,4,4,16,Ligue 1,2022-2023
Kenji-Van Boto,mg MAD,DF,Auxerre,26,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,10,Ligue 1,2022-2023
Antonin Bobichon,fr FRA,MF,Angers,26,1995,3,0,18,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,4,8,Ligue 1,2022-2023
Jérôme Boateng,de GER,DF,Lyon,33,1988,8,6,428,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,6,0,Ligue 1,2022-2023
Joaquín Blázquez,ar ARG,GK,Brest,21,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Ligue 1,2022-2023
Rubén Blanco,es ESP,GK,Marseille,27,1995,6,6,495,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Ligue 1,2022-2023
Marco Bizot,nl NED,GK,Brest,31,1991,37,37,3330,37.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,Ligue 1,2022-2023
Vincent Sierro,ch SUI,MF,Toulouse,26,1995,15,7,665,7.4,0,0,0,0,0,0,3,0,0.5,0.5,0.8,1.2,7,49,13,Ligue 1,2022-2023
Kaj Sierhuis,nl NED,"FW,MF",Reims,24,1998,14,1,218,2.4,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,5,3,29,Ligue 1,2022-2023
Marvin Senaya,tg TOG,DF,Strasbourg,21,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,Ligue 1,2022-2023
Matz Sels,be BEL,GK,Strasbourg,30,1992,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,0,0,0,Ligue 1,2022-2023
Alidu Seidu,gh GHA,DF,Clermont Foot,22,2000,28,28,2458,27.3,0,0,0,0,0,0,10,1,0.1,0.1,0.5,0.7,27,65,35,Ligue 1,2022-2023
Kasper Schmeichel,dk DEN,GK,Nice,35,1986,36,36,3240,36.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0,0,0,Ligue 1,2022-2023
Mamadou Sarr,fr FRA,MF,Lyon,16,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Ligue 1,2022-2023
Malang Sarr,fr FRA,DF,Monaco,23,1999,13,8,716,8.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,5,59,2,Ligue 1,2022-2023
Paul Bernardoni,fr FRA,GK,Angers,25,1997,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Ligue 1,2022-2023
Quentin Bernard,fr FRA,DF,Auxerre,33,1989,7,7,630,7.0,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,4,27,14,Ligue 1,2022-2023
Mitchell van Bergen,nl NED,"FW,DF",Reims,22,1999,28,6,905,10.1,0,1,1,0,0,0,1,0,2.2,2.2,2.7,4.8,51,21,89,Ligue 1,2022-2023
Patrick Berg,no NOR,"MF,FW",Lens,24,1997,3,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,4,Ligue 1,2022-2023
Salim Ben Seghir,fr FRA,MF,Marseille,19,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Ligue 1,2022-2023
Jeanuël Belocian,fr FRA,DF,Rennes,17,2005,8,6,506,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,8,21,21,Ligue 1,2022-2023
Tony Strata,ro ROU,"MF,DF",Ajaccio,17,2004,3,1,138,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,0,Ligue 1,2022-2023
Calvin Stengs,nl NED,FW,Nice,23,1998,4,3,212,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,10,12,16,Ligue 1,2022-2023
Djed Spence,eng ENG,DF,Rennes,21,2000,8,7,573,6.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,21,21,18,Ligue 1,2022-2023
Kevin Spadanuda,ch SUI,"MF,FW",Ajaccio,25,1997,22,13,1063,11.8,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,17,17,56,Ligue 1,2022-2023
Arnaud Souquet,fr FRA,"DF,FW",Montpellier,30,1992,12,3,361,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,5,10,14,Ligue 1,2022-2023
François-Joseph Sollacaro,fr FRA,GK,Ajaccio,28,1994,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,Ligue 1,2022-2023
Eduard Sobol,ua UKR,DF,Strasbourg,27,1995,15,9,870,9.7,0,1,1,0,0,0,2,0,0.1,0.1,0.8,0.9,16,34,54,Ligue 1,2022-2023
Naatan Skyttä,fi FIN,MF,Toulouse,20,2002,2,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,2,Ligue 1,2022-2023
Ibrahima Sissoko,ml MLI,MF,Strasbourg,24,1997,26,13,1310,14.6,0,2,2,0,0,0,1,0,0.7,0.7,0.9,1.6,18,67,41,Ligue 1,2022-2023
Franci Bouebari,fr FRA,DF,Strasbourg,18,2003,2,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,Ligue 1,2022-2023
Youcef Belaïli,dz ALG,"FW,MF",Brest,30,1992,6,4,356,4.0,0,2,2,0,0,0,3,0,0.7,0.7,0.8,1.4,16,14,31,Ligue 1,2022-2023
Reda Belahyane,ma MAR,MF,Nice,18,2004,4,1,182,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,10,1,Ligue 1,2022-2023
Alexis Beka Beka,fr FRA,"MF,DF",Nice,21,2001,14,7,545,6.1,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.5,13,25,23,Ligue 1,2022-2023
Yanis Begraoui,ma MAR,"FW,MF",Toulouse,21,2001,3,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,3,3,Ligue 1,2022-2023
Melvin Bard,fr FRA,DF,Nice,21,2000,33,28,2456,27.3,0,0,0,0,0,0,6,0,0.5,0.5,0.9,1.4,61,96,126,Ligue 1,2022-2023
Abdoulaye Bamba,ci CIV,DF,Angers,32,1990,21,12,1364,15.2,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,8,36,19,Ligue 1,2022-2023
Leonardo Balerdi,ar ARG,DF,Marseille,23,1999,35,30,2639,29.3,0,1,1,0,0,0,9,1,1.3,1.3,0.2,1.4,15,97,19,Ligue 1,2022-2023
Carlos Baleba,cm CMR,MF,Lille,18,2004,19,5,478,5.3,0,0,0,0,0,0,3,1,0.5,0.5,0.1,0.6,16,33,12,Ligue 1,2022-2023
Thibault Tamas,fr FRA,DF,Montpellier,21,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,Ligue 1,2022-2023
Waniss Taibi,fr FRA,MF,Angers,20,2002,11,1,189,2.1,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,8,16,7,Ligue 1,2022-2023
Issiaga Sylla,gn GUI,DF,Toulouse,28,1994,17,16,1372,15.2,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.9,51,95,107,Ligue 1,2022-2023
Gabriel Suazo,cl CHI,DF,Toulouse,24,1997,18,14,1259,14.0,0,1,1,0,0,0,1,0,0.1,0.1,0.8,0.9,26,79,66,Ligue 1,2022-2023
Veljko Birmančević,rs SRB,"FW,MF",Toulouse,24,1998,25,2,444,4.9,0,0,0,0,0,0,0,0,1.3,1.3,0.2,1.5,21,16,50,Ligue 1,2022-2023
