Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Luis Binks,eng ENG,DF,Bologna,19,2001,15,7,646,7.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,1,17,1,Serie A,2021-2022
Nicolò Bertola,it ITA,"MF,DF",Spezia,18,2003,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,Serie A,2021-2022
Etrit Berisha,al ALB,GK,Torino,32,1989,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Bartosz Bereszyński,pl POL,DF,Sampdoria,29,1992,35,35,2946,32.7,0,3,3,0,0,0,12,0,0.5,0.5,1.8,2.3,52,105,108,Serie A,2021-2022
Alessandro Berardi,it ITA,GK,Hellas Verona,30,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Rodrigo Bentancur,uy URU,MF,Juventus,24,1997,19,13,1155,12.8,0,1,1,0,0,0,1,0,0.7,0.7,0.9,1.6,22,79,32,Serie A,2021-2022
Arnór Sigurðsson,is ISL,"FW,MF",Venezia,22,1999,9,0,183,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,4,16,Serie A,2021-2022
Alassane Sidibe,ci CIV,MF,Atalanta,19,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Aimar Sher,se SWE,MF,Spezia,18,2002,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,Serie A,2021-2022
Laurens Serpe,it ITA,DF,Genoa,20,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,1,Serie A,2021-2022
Luigi Sepe,it ITA,GK,Salernitana,30,1991,16,16,1392,15.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,Serie A,2021-2022
Stefano Sensi,it ITA,"MF,FW",Inter,25,1995,9,1,167,1.9,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,7,13,13,Serie A,2021-2022
Matteo Gabbia,it ITA,DF,Milan,21,1999,8,6,537,6.0,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.1,3,22,1,Serie A,2021-2022
Morten Frendrup,dk DEN,"DF,MF",Genoa,20,2001,10,6,695,7.7,0,0,0,0,0,0,1,0,0.5,0.5,0.4,0.9,13,25,9,Serie A,2021-2022
Gianluca Frabotta,it ITA,"DF,MF",Hellas Verona,22,1999,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,Serie A,2021-2022
Vincenzo Fiorillo,it ITA,GK,Salernitana,31,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Luca Fiordilino,it ITA,MF,Venezia,25,1996,15,5,661,7.3,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,3,23,10,Serie A,2021-2022
Tyronne Ebuehi,ng NGA,DF,Venezia,25,1995,19,12,1138,12.6,0,0,0,0,0,0,1,1,0.6,0.6,0.4,1.0,29,29,52,Serie A,2021-2022
Radu Drăgușin,ro ROU,DF,Salernitana,19,2002,7,5,488,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,9,1,Serie A,2021-2022
Radu Drăgușin,ro ROU,DF,Sampdoria,19,2002,13,4,620,6.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,6,13,10,Serie A,2021-2022
Bartłomiej Drągowski,pl POL,GK,Fiorentina,23,1997,7,7,556,6.2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Nicolás Domínguez,ar ARG,MF,Bologna,23,1998,28,23,2015,22.4,0,3,3,0,0,0,8,0,1.2,1.2,2.4,3.6,18,113,44,Serie A,2021-2022
Thomas Strakosha,al ALB,GK,Lazio,26,1995,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,Serie A,2021-2022
Riccardo Stivanello,it ITA,DF,Bologna,17,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Luca Stanga,it ITA,DF,Milan,19,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,Serie A,2021-2022
Marco Sportiello,it ITA,GK,Atalanta,29,1992,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Leonardo Spinazzola,it ITA,DF,Roma,28,1993,3,2,127,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,4,4,10,Serie A,2021-2022
